Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Tags,days_since_review,lat,lng,Reviewer_Score
49 Rue La Fayette 9th arr 75009 Paris France,205,8/16/2015,8.1,Best Western Premier Op ra Faubourg Ex Hotel Jules , France , Very small and bathroon really not practical A lot of noize and pollution from main street Dirty carpet and surrounding in the room very dusty,26,1966, Location ok but very noizy,6,10,"[' Business trip ', ' Solo traveler ', ' Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",718 day,48.8753359,2.3414617,Low_Reviewer_Score
Corso Sempione 91 Fiera Milano City 20149 Milan Italy,122,12/23/2015,8.5,Enterprise Hotel Design Boutique, United Kingdom , Our room did not have a nice view but this is the only negative thing about this hotel ,20,1686, Staff was very friendly and polite rooms are clean and tidy location is nice and easy to get to the centre of Milan Nice decor quiet and very good place Comfortable bed and pillows white towels and fresh bed linen ,42,1,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",589 day,45.4867005,9.1575137,High_Reviewer_Score
Rusland 17 Amsterdam City Center 1012 CK Amsterdam Netherlands,827,5/1/2016,8.6,Radisson Blu Hotel Amsterdam, Israel , the room didn t have a bathtub which wasn t so comfortable ,14,4593, breakfast was good location is perfect the room was very clean ,13,1,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 4 nights ']",459 day,52.3702469,4.8966743,High_Reviewer_Score
4 Boulevard Raspail 7th arr 75007 Paris France,194,5/1/2016,8.4,K K H tel Cayr Saint Germain des Pr s, Italy , The wifi in the bedroom was impossibly slow to the point of being non existent It worked better downstairs in the reception area ,25,1431, The staff were helpful and cheerful Our bedroom was on the back overlooking a small but well maintained courtyard It was perfectly silent at night ,27,37,"[' Leisure trip ', ' Couple ', ' Executive Room ', ' Stayed 3 nights ']",459 day,48.8553117,2.3254628,High_Reviewer_Score
42 46 Chiswell Street City of London London EC1Y 4SB United Kingdom,417,8/3/2016,8.9,London City Suites, United Kingdom , The temperature of the water in the bathroom took ages to change just couldn t get it to work ,21,1744, They went out of their way to make us feel welcome It was to celebrate my boyfriends birthday and they left a bottle of wine bath bombs balloons and rose petals which was just lovely ,37,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",365 day,51.5206309,-0.0915341,High_Reviewer_Score
Rembrandtplein 44 Amsterdam City Center 1017 CV Amsterdam Netherlands,76,10/2/2016,7.4,Royal Amsterdam Hotel, Egypt , Just the elevator too small,6,627, Location and helpful friendly staff and clean,8,19,"[' Leisure trip ', ' Group ', ' Deluxe Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",305 day,52.3657281,4.8972883,Intermediate_Reviewer_Score
41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,7/11/2017,8.7,St James Court A Taj Hotel London, United States of America , Due to the layout of the hotel some rooms are a long walk from elevator or in very small hallways Adjacent room noise can be an issue ,29,5394, Convenient location ,4,3,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 6 nights ']",23 days,51.4986732,-0.1376867,High_Reviewer_Score
Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,973,1/16/2017,8,Park Plaza Victoria Amsterdam, United Kingdom ,No Negative,0,4820, Hotel was very clean and the staff were friendly ,11,1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",199 day,52.377278,4.897818,High_Reviewer_Score
Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,493,7/13/2016,8.6,NH Collection Amsterdam Barbizon Palace, United Kingdom , Expensive parking no help on getting luggage in from car porter at reception just ignored you and just looked down and would not make eye contact Bedroom was not cleaned properly dirty cups left for more than two days also soap not changed and just put back in its carbord box wet so it stuck to it and could not be used,63,2865, Central location,3,7,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",386 day,52.3764175,4.9002201,Low_Reviewer_Score
55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,791,5/18/2016,7.3,Shaftesbury Premier London Paddington, United Kingdom , The rooms are very small The deluxe double was just a little wider than the double bed ,19,3609, The free water,4,2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",442 day,51.5153672,-0.1783271,Intermediate_Reviewer_Score
2 8 Hanger Lane Ealing Common London W5 3HN United Kingdom,434,8/4/2016,8.4,DoubleTree by Hilton London Ealing, United Kingdom , Nothing ,3,1494, Great rooms great staff Easy to reach city ,10,2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",364 day,51.511521,-0.290706,High_Reviewer_Score
10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,129,8/15/2016,9.1,Knightsbridge Hotel, United Arab Emirates , NOTHING ,3,473, The hotel is an absolute gem ,8,5,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 3 nights ']",353 day,51.4980052,-0.1643238,High_Reviewer_Score
5 7 Princes Square Kensington and Chelsea London W2 4NP United Kingdom,371,7/11/2016,7.3,The Premier Notting Hill, United Kingdom , Aircon temp too high unable to adjust lower so room stiflingly hot View of airduct and brick walls of inner building from window as room was facing to the rear of the hotel Requested front facing room over street but did not get this ,46,2215, Location ,3,31,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",388 day,51.5127453,-0.1926437,Intermediate_Reviewer_Score
Coram Street Camden London WC1N 1HT United Kingdom,709,9/29/2016,8.2,Holiday Inn London Bloomsbury, Israel , We liked everything ,5,2995, The breakfast was excellent our stay very good We would come again to stay whenever we are in London ,21,29,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']",308 day,51.5241248,-0.1258066,High_Reviewer_Score
26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,328,7/5/2017,7.5,Mayflower Hotel Apartments, United Kingdom , THE BED WAS REALLY UNCOMFORTABLE THE PILLOWS NEEDED REPLACING THE ROOM WAS A SMALL DOUBLE BUT WOW WAS IT SMALL EVERY TIME YOU CAME OUT THE BEDROOM YOU HIT THE DOOR ON THE HOLDER FOR THE CASE THE KIND OF SMALL WHERE YOU SIT ON THE LOO AND YOUR IN DANGER OF HITTING YOUR HEAD ON THE SINK PARKING WAS 30 POUND FOR THE NIGHT ON SOMEONES DRIVE ABOUT 5 MINUTES AWAY NIGHT TIME HARD TO GET A GOOD SLEEP AS VERY NOISEY NEAR TRAIN STATION AND THERE WERE PLANES GOING OVER EVERY FEW MINUTES,96,2197, THE BREAKFAST WAS REALLY NICE THE HOTEL WAS CLEAN THE BEDROOMS WINDOWS OPENED WIDE FOR AIR AND THERE WAS A ROTARY FAN IN THE ROOM LOCATION WAS REASONABLE AND THERE WERE LOTS OF PLACES TO EAT BUCKINHAM PALACE WAS 2 8 MILES AWAY A GOOD WALK IN THE EVENING,50,3,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 1 night ']",29 days,51.4916677,-0.1947475,Intermediate_Reviewer_Score
42 46 Chiswell Street City of London London EC1Y 4SB United Kingdom,417,10/1/2016,8.9,London City Suites, United Kingdom ,No Negative,0,1744, The bed was so comfortable and the staff were so friendly and helpful,14,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",306 day,51.5206309,-0.0915341,High_Reviewer_Score
Naritaweg 1 Westpoort 1043 BP Amsterdam Netherlands,498,7/12/2017,8.6,Mercure Amsterdam Sloterdijk Station, United Kingdom , had to go home,5,3643, excellent bar staff and service,6,3,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ']",22 days,52.3872884,4.8349748,Intermediate_Reviewer_Score
Capellans 4 Ciutat Vella 08002 Barcelona Spain,387,2/3/2016,8.9,Hotel Barcelona Catedral, Ireland , Food delivered to hotel room was lacklustre ,9,2695, Great staff extremely helpful made you feel like you were in a high rated hotel ,17,12,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 3 nights ']",547 day,41.384829,2.1751277,High_Reviewer_Score
Boquer a 10 Ciutat Vella 08002 Barcelona Spain,392,5/2/2016,8.5,Petit Palace Boqueria Garden, Romania , No room service very poor cleaning 2 days nobody clean our room and we stayed 3 days crowded and small breakfast lounge ,24,3602, Location ,3,4,"[' Leisure trip ', ' Family with young children ', ' Sextuple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",458 day,41.3812223,2.1739622,Low_Reviewer_Score
Tilling Road London NW2 1LP United Kingdom,269,7/27/2017,7.9,Holiday Inn London Brent Cross, United Kingdom , Everything,2,835, Nothing,2,1,"[' Leisure trip ', ' Couple ', ' One Bed Feature Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",7 days,51.5731061,-0.2233332,Intermediate_Reviewer_Score
7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,7/5/2016,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,No Negative,0,7491, Staff were really friendly and informative regarding transport around London ,12,1,"[' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",394 day,51.5108412,-0.0780581,High_Reviewer_Score
335 337 High Street Stratford Newham London E15 2TF United Kingdom,293,12/15/2015,9,The Westbridge Hotel, United Kingdom , We left items in the room and when called the next day to collect items staff told us that certain items could not be found I wouldn t recommend leaving anything in the rooms as obviously staff can not be trusted and will lie through there teeth This is the only reason I would not stay here again Very disappointed,61,1200, The rooms are very well facilitated and good value for money Location was spot on as it is right near Stratford station ,24,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",597 day,51.5373904,-0.0023367,Intermediate_Reviewer_Score
Via Laietana 17 Ciutat Vella 08003 Barcelona Spain,177,3/14/2017,7.9,Exe Laietana Palace, Ireland , Rooms were very warm,5,2045, Glass of Cava was nice welcome to get,9,1,"[' Leisure trip ', ' Couple ', ' Economy Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",142 day,41.3833541,2.1794038,High_Reviewer_Score
101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,3/8/2016,8.4,The Grosvenor, United Kingdom , Breakfast could have been included in the price ,10,3274, The bed was very comfortable and the room was very clean ,13,3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",513 day,51.4956657,-0.1452793,High_Reviewer_Score
Aletta Jacobslaan 7 Slotervaart 1066 BP Amsterdam Netherlands,555,12/18/2016,8.4,Corendon Vitality Hotel Amsterdam, Netherlands , We booked junior suite with spa access but it was men night for the spa without notice on booking com One waitress was arrogant,25,4410, Because no spa excess they offered an alternative facility This was satisfying The ultrasonic light spa,17,1,"[' Leisure trip ', ' Couple ', ' Junior Suite with Spa Access ', ' Stayed 1 night ']",228 day,52.3466449,4.8310984,Intermediate_Reviewer_Score
20 Chesham Place Kensington and Chelsea London SW1X 8HQ United Kingdom,197,6/25/2017,9.2,The Hari London, Brazil , Nothing,2,635, Staff quality was second to none,7,5,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",39 days,51.4973203,-0.1562558,High_Reviewer_Score
26 Cadogan Gardens Kensington and Chelsea London SW3 2RP United Kingdom,48,9/26/2016,9.2,Draycott Hotel, United Kingdom , The single room was located next to noisy ventilation ducts,11,245, The staff were excellent,5,1,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",311 day,51.4930097,-0.159715,Intermediate_Reviewer_Score
Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,7/2/2017,8.7,Park Plaza Westminster Bridge London, United Kingdom , Our room simply wasn t dusted ,8,12158, The location is great for sure,7,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",32 days,51.5009609,-0.1165913,Intermediate_Reviewer_Score
2 5 Montague Street Bloomsbury Camden London WC1B 5BU United Kingdom,100,3/13/2017,7.9,Grange White Hall Hotel, United Kingdom , thought breakfast would be included given the price not enough power plugs in room for kettle and charger ,20,468, good location nice interior professional staff,7,11,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",143 day,51.5203469,-0.1260893,Intermediate_Reviewer_Score
10 Avenue Emile Zola 15th arr 75015 Paris France,33,11/30/2016,8,Mercure Paris Tour Eiffel Pont Mirabeau, India , The rooms were too small and congested Our room was not cleared of the glasses bottles etc even till the next night The staff who arranged the airport drop was not honest Gave us a small vehicle after promising and charging for a larger vehicle ,47,259, The location was good ,6,4,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",246 day,48.8460269,2.2788281,Intermediate_Reviewer_Score
Schottenfeldgasse 74 07 Neubau 1070 Vienna Austria,69,1/10/2017,8.3,Falkensteiner Hotel Wien Zentrum Schottenfeld, Croatia ,No Negative,0,977, The coffee and tea machine in the room is bingo The breakfast is great ,16,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 3 nights ']",205 day,48.2048494,16.343618,High_Reviewer_Score
81 Great Eastern Street Islington London EC2A 3HU United Kingdom,524,8/30/2016,9,The Hoxton Shoreditch, United Kingdom , Absolutely nothing ,4,1732, Wonderful friendly and informative staff relaxed atmosphere excellent lunch in the grill great vibe we loved the dj in the bar in the evening Would love to stay here again in the future ,35,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",338 day,51.5255136,-0.082927,High_Reviewer_Score
20 Chesham Place Kensington and Chelsea London SW1X 8HQ United Kingdom,197,2/6/2017,9.2,The Hari London, Kuwait ,No Negative,0,635, I always enjoy staying at this hotel but I had quite special stay this time The staff were very friendly and helpful The room was always clean and the bed was extremely comfortable ,35,10,"[' Leisure trip ', ' Solo traveler ', ' Premium King Room ', ' Stayed 5 nights ']",178 day,51.4973203,-0.1562558,High_Reviewer_Score
22 Portman Square Westminster Borough London W1H 7BG United Kingdom,597,11/21/2015,7.9,Radisson Blu Portman Hotel London, United Kingdom , Food was poor Service was mediocre ,8,2308, It was clean and basic,6,2,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",621 day,51.5161911,-0.1579487,Intermediate_Reviewer_Score
Ijburglaan 539 Zeeburg 1087 BE Amsterdam Netherlands,253,11/12/2015,8.4,Amadi Panorama Hotel, Bahrain , Nothinh,2,2586, I always stay in this hotel and will stay for sure next time it is out of the city but with tram 26 u can reach the centre within 15 mins and the location is amazing,37,10,"[' Leisure trip ', ' Group ', ' Deluxe Double Room with View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",630 day,52.3588806,4.9886041,High_Reviewer_Score
Slotermeerlaan 80 Geuzenveld Slotermeer 1064 HD Amsterdam Netherlands,407,8/9/2016,7.3,Best Western Plus Hotel Blue Square, United Kingdom , This hotel is tucked well away from the city a 20 minute tram ride and definite taxi back 25 45 one way from the city if you are staying out late There was hardly any wifi signal in the room staff was not very keen to help It wasn t bad but not staying there again I am afraid ,61,3161, I am having to think hard about the good points so that is that ,16,1,"[' Leisure trip ', ' Group ', ' Economy Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",359 day,52.3786823,4.8207833,Low_Reviewer_Score
100 110 Euston Road Camden London NW1 2AJ United Kingdom,728,1/19/2016,8.9,Pullman London St Pancras, United Kingdom , Apparently the management system for restaurant needs to be updated I added breakfast when checked in but the staff still cannot find my name next morning and had to check with the reception to confirm my place ,39,3168, breakfast is good location is ok ,8,9,"[' Leisure trip ', ' Solo traveler ', ' Classic Twin Room ', ' Stayed 1 night ']",562 day,51.5286766,-0.1283489,High_Reviewer_Score
Fulham Road Stamford Bridge Hammersmith and Fulham London SW6 1HS United Kingdom,525,3/14/2017,8.2,Millennium Copthorne Hotels at Chelsea Football Club, United Kingdom , N A,3,1842, N A,3,10,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",142 day,51.481663,-0.1909565,Intermediate_Reviewer_Score
12 rue des Saussaies 8th arr 75008 Paris France,29,7/7/2016,9,Le Pavillon des Lettres, Saudi Arabia , Small room and bathroom elevator wasn t working the whole time I was there,15,164, Location and decor,4,1,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",392 day,48.8713699,2.3181191,High_Reviewer_Score
5 rue Louis Codet 7th arr 75007 Paris France,160,11/2/2015,9,Le Cinq Codet, Belgium , You need to pay a supplement for a room with bath We had no hot water in the shower and had to change from room,26,1055, Nice room decoration,4,2,"[' Leisure trip ', ' Family with young children ', ' Classic Double Room ', ' Stayed 1 night ']",640 day,48.8547869,2.3084819,Intermediate_Reviewer_Score
7 Western Gateway Royal Victoria Dock Newham London E16 1AA United Kingdom,359,12/15/2015,8.5,Novotel London Excel, United Kingdom ,No Negative,0,1158, Stayed for my boyfriends birthday got 2 free drinks one for me and one for him and a little birthday pack Also ordered champagne for the room which I prepaid for Staff very helpful and lovely food at the restraunt Will definitely stop again ,46,1,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",597 day,51.5077198,0.0229805,High_Reviewer_Score
130 Tottenham Court Road Camden London W1T 5AY United Kingdom,713,1/19/2016,8.3,Radisson Blu Edwardian Grafton, United Kingdom , Noisy cleaning staff noisy room doors banging all the time Noise from outside is terrible they really need to soundproof the windows ,24,2826, Clean great location higher quality than the price suggests ,11,14,"[' Leisure trip ', ' Group ', ' Superior Single Room ', ' Stayed 2 nights ']",562 day,51.5241386,-0.1380807,Intermediate_Reviewer_Score
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,2/29/2016,7.8,Holiday Inn London Kensington, Sweden , A bit bigger rooms more stable wifi cheaper breakfast ,11,5945, Relax area with pool was the great nice and helpful staff awesome location close to the Circle Line comfy beds ,22,18,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 4 nights ']",521 day,51.499981,-0.1928791,High_Reviewer_Score
265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,3/1/2016,8.1,DoubleTree by Hilton London Docklands Riverside, United Kingdom , How small our first room was it did not look this small in the photo and was very disappointed However our room upgrade was amazing ,27,3826, View from the room Breakfast was great Staff were very helpful when we were not satisfied with our room and helped to upgrade us at a small price ,30,1,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",520 day,51.5043483,-0.0334436,High_Reviewer_Score
22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom,930,12/29/2015,8.9,London Marriott Hotel West India Quay, United Kingdom , Even though we couldn t really hear the trains the hotel is overlooking the DLR meaning views where a little spoiled but not a big deal,27,2836, Excellent comfy bed pillows where to die for Room service was speedy and tasty,15,2,"[' Leisure trip ', ' Couple ', ' Deluxe King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",583 day,51.5072713,-0.0211213,High_Reviewer_Score
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,11/20/2016,8.1,Strand Palace Hotel, United Kingdom , N A,3,9568, The friendliness of the staff nothing was too much,10,2,"[' Leisure trip ', ' Couple ', ' Cosy Double Room ', ' Stayed 2 nights ']",256 day,51.5110993,-0.1208673,High_Reviewer_Score
Boquer a 10 Ciutat Vella 08002 Barcelona Spain,392,2/28/2016,8.5,Petit Palace Boqueria Garden, Ireland , Our check in receptionist was a little matter of fact and could have been a little friendlier and smile more ,22,3602, Pllows were super soft room bathroom was modern location was ideal and decor of hotel was beautiful Would definitely stay again next time,24,11,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 1 night ', ' Submitted from a mobile device ']",522 day,41.3812223,2.1739622,High_Reviewer_Score
